coleman,rb,84
de gea,gk,90
rooney,cam,84
ramsey,cm,84
thiago,cm,84
howedes,cb,84
xhaka,cm,84
matic,cdm,84
smalling,cb,84
javi martinez,cb,84
cahill,cb,83
musacchio,cb,83
sneijder,cam,83
oscar,cam,83
quaresma,rm,83
nolito,lw,83
carvajal,rb,83
giroud,st,83
giovinco,cf,83
slimani,st,83
trapp,gk,83
gimenez,cb,83
baines,lb,83
gameiro,st,83
karnezis,gk,82
florenzi,rb,82
jagielka,cb,82
sirigu,gk,82
n'zonzi,cdm,82
morata,st,82
icardi,st,82
costil,gk,82
pirlo,cm,82
skrtel,cb,82
vardy,st,82
evra,lb,82
gabi,cm,82
bailly,cb,82
raffael,cf,82
marchetti,gk,82
sagna,rb,82
guardado,cm,82
rulli,gk,82
de vrij,cb,82
danilo pereira,cdm,82
horn,gk,82
barkley,cam,81
walcott,lm,81
jose callejon,rw,81
andre andre,cm,81
volland,st,81
promes,rm,81
ganso,cam,81
coquelin,cdm,81
fernandinho,cm,81
tremoulinas,lb,81
bakambu,st,81
astori,cb,81
bruno peres,rwb,81
victor ruiz,cb,81
jovetic,st,81
de marcos,rb,81
kante,cm,81
parolo,cm,81
batshuayi,st,81
cabaye,cdm,81
camacho,cdm,81
lucas perez,st,81
deulofeu,rm,81
fernando torres,st,81
marco asensio,cam,81
daniel carrico,cb,81
mccarthy,cdm,81
dzagoev,cm,81
mirante,gk,81
tiago,cm,81
sergio asenjo,gk,81
rose,lb,80
murillo,cb,80
sorrentino,gk,80
rode,cdm,80
guilavogui,cdm,80
perotti,cf,80
kampl,cm,80
gibbs,lb,80
clichy,lb,80
kolodziejczak,cb,80
noboa,cm,80
zouma,cb,80
adrian,gk,80
saponara,cam,80
asamoah,cm,80
shaw,lb,80
neto,gk,80
williams,rw,80
manuel fernandes,cam,80
baumann,gk,80
mangala,cb,80
gaya,lb,80
bruma,cb,80
topal,cdm,80
eder,st,80
inan,cm,80
zaha,rm,79
visca,rm,79
wernbloom,cdm,79
badstuber,cb,79
tah,cb,79
sane,rm,79
lanzini,cam,79
joao cancelo,rb,79
rugani,cb,79
correa,st,79
montero,lm,79
gradel,lw,79
young,lm,79
bernard,cam,79
brooks,cb,79
mane,rm,79
goretzka,cm,79
montoya,rb,79
bernat,lb,79
fernando,cdm,79
fernandez,cam,79
maxwell,lb,79
samaris,cdm,79
joaozinho,lm,79
tosic,rm,79
kovacic,cm,79
menez,st,79
radu,lb,79
musa,st,78
carroll,st,78
aboubakar,st,78
stones,cb,78
el kaddouri,cm,78
mikel,cdm,78
diouf,st,78
tiote,cdm,78
montolivo,cdm,78
nkoudou,lm,78
mario rui,lb,78
lennon,rm,78
dyer,rm,77
vangioni,lb,77
long,st,77
zarate,st,77
dembele,rm,77
n'doye,cm,77
andre pinto,cb,77
van damme,cb,77
de preville,st,77
alessandrini,rm,77
depoitre,st,77
rashford,st,76
sanchez,cdm,76
utaka,st,76
balta,cb,76
bovo,cb,76
tettey,cdm,76
muriel,st,76
emenike,st,76
elia,lw,76
aziz,cb,76
embolo,rm,76
deeney,st,76
onuoha,cb,76
bastos,cb,76
aquino,lm,76
michel macedo,rb,75
